instruments/recorder,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/recorder/20220416_161109.mp4,128,90.0,47.73,47.88,0.15000000000000568,4773.0,4788.0,0.8913752436637878,0.15793445344525733,"[[1229.3333333333333, 199.5], [1365.1666666666667, 191.0]]"
instruments/recorder/20220416_161109.mp4,131,88.0,50.18,51.83,1.6499999999999986,5018.0,5183.0,0.9129905700683594,0.1668237770151769,"[[1234.0833333333335, 188.33333333333334], [1382.5, 177.83333333333334]]"
instruments/recorder/20220416_161109.mp4,133,86.0,53.29,54.94,1.6499999999999986,5329.0,5494.0,0.9357438683509827,0.12534252893926,"[[1237.1666666666667, 188.66666666666666], [1383.75, 176.08333333333331]]"
instruments/recorder/20220416_161109.mp4,134,84.0,55.39,57.88,2.490000000000002,5539.0,5788.0,0.9412858486175537,0.06140218540642447,"[[1267.8333333333333, 183.5], [1415.3333333333333, 170.33333333333334]]"
instruments/recorder/20220416_161532.mp4,6,74.0,16.83,19.97,3.1400000000000006,1683.0,1997.0,0.9312639236450195,0.06732337987716916,"[[922.6666666666666, 286.5], [1065.3333333333333, 282.0]]"
instruments/recorder/20220416_161532.mp4,8,74.0,20.02,20.11,0.08999999999999986,2002.0,2011.0,0.8467554450035095,0.08029267591764712,"[[921.1666666666666, 285.8333333333333], [1065.8333333333333, 282.1666666666667]]"
instruments/recorder/20220416_161532.mp4,9,74.0,20.13,20.29,0.16000000000000014,2013.0,2029.0,0.9038389921188354,0.030354823495651554,"[[920.8333333333334, 284.3333333333333], [1064.5, 281.1666666666667]]"
instruments/recorder/20220416_161532.mp4,11,74.0,20.54,20.6,0.060000000000002274,2054.0,2060.0,0.8735167384147644,0.11643553249788027,"[[920.1666666666666, 287.3333333333333], [1064.8333333333333, 282.8333333333333]]"
instruments/recorder/20220416_161532.mp4,12,74.0,20.63,20.69,0.060000000000002274,2063.0,2069.0,0.8343498706817627,0.0808280554360345,"[[920.6666666666666, 288.1666666666667], [1065.6666666666667, 282.8333333333333]]"
instruments/recorder/20220416_161532.mp4,15,74.0,22.2,22.3,0.10000000000000142,2220.0,2230.0,0.8414371609687805,0.06928266792196183,"[[920.9166666666667, 276.1666666666667], [1058.5, 271.16666666666663]]"
instruments/recorder/20220416_161532.mp4,16,74.0,22.37,22.45,0.0799999999999983,2237.0,2245.0,0.8356266021728516,0.021179749452599556,"[[922.3333333333334, 272.3333333333333], [1060.6666666666667, 269.3333333333333]]"
instruments/recorder/20220416_161532.mp4,17,74.0,22.58,22.72,0.14000000000000057,2258.0,2272.0,0.8760066628456116,0.05642871210782096,"[[923.6666666666666, 274.0], [1061.3333333333333, 270.8333333333333]]"
instruments/recorder/20220416_161532.mp4,18,74.0,22.73,22.78,0.05000000000000071,2273.0,2278.0,0.8446672558784485,0.06316883236987536,"[[924.3333333333334, 277.1666666666667], [1060.3333333333333, 271.5]]"
instruments/recorder/20220416_161532.mp4,24,74.0,23.0,23.07,0.07000000000000028,2300.0,2307.0,0.8356533050537109,0.017587220625691794,"[[924.5, 275.3333333333333], [1063.8333333333333, 270.3333333333333]]"
instruments/recorder/20220416_161532.mp4,27,74.0,23.22,23.4,0.17999999999999972,2322.0,2340.0,0.8644976615905762,0.011980089675150723,"[[921.9166666666667, 273.75], [1060.0833333333335, 270.3333333333333]]"
instruments/recorder/20220416_161532.mp4,28,74.0,23.43,23.94,0.5100000000000016,2343.0,2394.0,0.8981448411941528,0.02520915334532866,"[[920.25, 274.8333333333333], [1058.9166666666667, 270.6666666666667]]"
instruments/recorder/20220416_161532.mp4,30,74.0,24.03,24.19,0.16000000000000014,2403.0,2419.0,0.901877760887146,0.03154347237049976,"[[921.3333333333334, 274.3333333333333], [1058.0, 271.1666666666667]]"
instruments/recorder/20220416_161532.mp4,31,74.0,24.21,24.55,0.33999999999999986,2421.0,2455.0,0.8879634141921997,0.05893609042599519,"[[921.3333333333334, 274.3333333333333], [1061.0, 270.5]]"
instruments/recorder/20220416_161532.mp4,32,74.0,24.56,24.98,0.4200000000000017,2456.0,2498.0,0.917707622051239,0.05325686071775961,"[[924.1666666666666, 273.3333333333333], [1061.6666666666667, 270.8333333333333]]"
instruments/recorder/20220416_161532.mp4,33,74.0,25.0,25.15,0.14999999999999858,2500.0,2515.0,0.8881082534790039,0.08575462191280724,"[[925.0, 274.1666666666667], [1061.0, 270.6666666666667]]"
instruments/recorder/20220416_161532.mp4,35,74.0,25.19,25.31,0.11999999999999744,2519.0,2531.0,0.8905160427093506,0.05364504693568301,"[[924.5833333333334, 274.0833333333333], [1061.9166666666665, 271.5]]"
instruments/recorder/20220416_161532.mp4,36,74.0,25.35,26.16,0.8099999999999987,2535.0,2616.0,0.8960834741592407,0.040648215552722744,"[[924.6666666666666, 275.0], [1063.3333333333333, 272.1666666666667]]"
